Descriptor_1,Descriptor_2,Pearson_Correlation,Abs_Correlation
AATS6v,AATS6p,0.9464547117462182,0.9464547117462182
SpMax4_Bhv,SpMax5_Bhv,0.94627322851035,0.94627322851035
SpMin5_Bhv,SpMin6_Bhv,0.9462266202490089,0.9462266202490089
SIC1,CIC1,-0.9456894604976284,0.9456894604976284
VR3_DzZ,VR3_D,0.9455582943179051,0.9455582943179051
AATSC5p,MATS5p,0.9453589943937966,0.9453589943937966
nHaaNH,SHaaNH,0.9451820355248555,0.9451820355248555
AATS0p,Mp,0.9444066571149099,0.9444066571149099
minHaaCH,maxHaaCH,0.9434242675754041,0.9434242675754041
AATS0v,Mp,0.9433074003199867,0.9433074003199867
ETA_Epsilon_2,ETA_dPsi_A,0.9425487797034172,0.9425487797034172
AVP-1,AVP-2,0.9423812563950861,0.9423812563950861
nBondsT,C1SP1,0.9422990770982661,0.9422990770982661
CIC3,CIC4,0.9418343866961311,0.9418343866961311
ATS0p,ATSC0p,0.9404565895043917,0.9404565895043917
SpMin2_Bhm,SpMin2_Bhv,0.9401610793506094,0.9401610793506094
nHBint8,SHBint8,0.9401491258327939,0.9401491258327939
ETA_BetaP,HybRatio,-0.9401345703777381,0.9401345703777381
AATSC8p,MATS8p,0.9400742861699324,0.9400742861699324
ETA_Beta,ETA_Eta_F,0.9399178071085758,0.9399178071085758
nP,mindsssP,-0.9398510973025559,0.9398510973025559
SpMax5_Bhv,SpMin5_Bhv,0.9397245770708588,0.9397245770708588
SC-5,GGI2,0.939562723682908,0.939562723682908
ETA_Epsilon_2,ETA_Psi_1,-0.9394897550344796,0.9394897550344796
SpMin5_Bhm,SpMin6_Bhv,0.939078631090126,0.939078631090126
SsBr,minsBr,0.9388009137280732,0.9388009137280732
SpMax1_Bhv,SpMax1_Bhp,0.9386794952327691,0.9386794952327691
SpMin5_Bhm,SpMin6_Bhm,0.9382478974817403,0.9382478974817403
nwHBd,SwHBd,0.9382265000181641,0.9382265000181641
SssS,minssS,0.9377911789752879,0.9377911789752879
nHBint2,SHBint2,0.9376094822961772,0.9376094822961772
SCH-5,VCH-5,0.936846982143068,0.936846982143068
AATS1p,AATS2p,0.9366301955991323,0.9366301955991323
SIC3,SIC4,0.9366028995820354,0.9366028995820354
nssssC,MDEC-24,0.9363609051939643,0.9363609051939643
SpMax4_Bhv,SpMin4_Bhv,0.9361816195529148,0.9361816195529148
AATSC7e,MATS7e,0.9345658186551563,0.9345658186551563
SpMin8_Bhm,SpMin7_Bhv,0.934379679533204,0.934379679533204
SpMin5_Bhs,SpMin6_Bhs,0.9341206282789174,0.9341206282789174
SpMax4_Bhs,SpMax5_Bhs,0.9337116512102367,0.9337116512102367
SpMax6_Bhm,SpMax5_Bhv,0.9332635467242755,0.9332635467242755
SpMin6_Bhv,SpMin5_Bhe,0.9330336401667804,0.9330336401667804
ETA_EtaP_B_RC,JGT,0.9327847022224878,0.9327847022224878
AATS0e,AATS3e,0.9324955164613776,0.9324955164613776
SpMax5_Bhm,SpMax7_Bhm,0.932340691554532,0.932340691554532
AATSC2i,MATS2i,0.9319721907592844,0.9319721907592844
VR1_Dzs,VR2_Dzs,0.931909516692409,0.931909516692409
SsI,minsI,0.9312217865633214,0.9312217865633214
AATSC6e,MATS6e,0.930867237485425,0.930867237485425
ndsN,mindsN,0.9296805280010668,0.9296805280010668
nHCsats,SHCsats,0.9289975158997159,0.9289975158997159
AATS7v,AATS7p,0.9287504758420856,0.9287504758420856
AATS0e,AATSC0e,0.9284487671641689,0.9284487671641689
GATS8v,GATS8p,0.9282547677775586,0.9282547677775586
SpMin4_Bhm,SpMin4_Bhe,0.9281569115866647,0.9281569115866647
SpMin4_Bhv,SpMin5_Bhv,0.927826577018772,0.927826577018772
SpMin7_Bhv,SpMin6_Bhe,0.9274118260825884,0.9274118260825884
VE3_DzZ,VE3_Dzv,0.9271833403484556,0.9271833403484556
nHBint10,SHBint10,0.9271040673468209,0.9271040673468209
ETA_EtaP_B,ETA_EtaP_B_RC,0.9270574921031878,0.9270574921031878
VR1_DzZ,VR2_DzZ,0.9267328664705782,0.9267328664705782
AATS8e,AATS8i,0.9264377660373722,0.9264377660373722
AVP-6,AVP-7,0.9262926491156002,0.9262926491156002
